mode,k,q,op,key_index,sample_index,nanoseconds
tensor_reference,16,67,sign,1,2,31871
tensor_reference,16,67,sign,1,3,31746
tensor_reference,16,67,sign,1,4,31683
tensor_reference,16,67,sign,1,5,31748
tensor_reference,16,67,sign,1,6,31782
tensor_reference,16,67,sign,1,7,31779
tensor_reference,16,67,sign,1,8,31685
tensor_reference,16,67,sign,1,9,33557
tensor_reference,16,67,sign,1,10,31685
tensor_reference,16,67,sign,1,11,33138
tensor_reference,16,67,sign,1,12,31877
tensor_reference,16,67,sign,1,13,31689
tensor_reference,16,67,sign,1,14,32008
tensor_reference,16,67,sign,1,15,31700
tensor_reference,16,67,sign,1,16,31685
tensor_reference,16,67,sign,1,17,33286
tensor_reference,16,67,sign,1,18,31695
tensor_reference,16,67,sign,1,19,31595
tensor_reference,16,67,sign,1,20,31825
tensor_reference,16,67,sign,1,21,31894
tensor_reference,16,67,sign,1,22,31628
tensor_reference,16,67,sign,1,23,31584
tensor_reference,16,67,sign,1,24,31808
tensor_reference,16,67,sign,1,25,33282
tensor_reference,16,67,sign,1,26,31776
tensor_reference,16,67,sign,1,27,31735
tensor_reference,16,67,sign,1,28,31761
tensor_reference,16,67,sign,1,29,31639
tensor_reference,16,67,sign,1,30,31803
tensor_reference,16,67,sign,1,31,31731
tensor_reference,16,67,sign,1,32,31838
tensor_reference,16,67,sign,1,33,33519
tensor_reference,16,67,sign,1,34,31700
tensor_reference,16,67,sign,1,35,31729
tensor_reference,16,67,sign,1,36,31751
tensor_reference,16,67,sign,1,37,31707
tensor_reference,16,67,sign,1,38,31692
tensor_reference,16,67,sign,1,39,31806
tensor_reference,16,67,sign,2,0,31601
tensor_reference,16,67,sign,2,1,31912
tensor_reference,16,67,sign,2,2,31664
tensor_reference,16,67,sign,2,3,31728
tensor_reference,16,67,sign,2,4,33256
tensor_reference,16,67,sign,2,5,31758
tensor_reference,16,67,sign,2,6,31644
tensor_reference,16,67,sign,2,7,31867
tensor_reference,16,67,sign,2,8,31613
tensor_reference,16,67,sign,2,9,31649
tensor_reference,16,67,sign,2,10,31895
tensor_reference,16,67,sign,2,11,31619
tensor_reference,16,67,sign,2,12,33394
tensor_reference,16,67,sign,2,13,31727
tensor_reference,16,67,sign,2,14,31707
tensor_reference,16,67,sign,2,15,31731
tensor_reference,16,67,sign,2,16,31659
tensor_reference,16,67,sign,2,17,31716
tensor_reference,16,67,sign,2,18,31704
tensor_reference,16,67,sign,2,19,31758
tensor_reference,16,67,sign,2,20,33428
tensor_reference,16,67,sign,2,21,31643
tensor_reference,16,67,sign,2,22,31987
tensor_reference,16,67,sign,2,23,31741
tensor_reference,16,67,sign,2,24,31783
tensor_reference,16,67,sign,2,25,31605
tensor_reference,16,67,sign,2,26,31908
tensor_reference,16,67,sign,2,27,33151
tensor_reference,16,67,sign,2,28,33379
tensor_reference,16,67,sign,2,29,31672
tensor_reference,16,67,sign,2,30,31677
tensor_reference,16,67,sign,2,31,31690
tensor_reference,16,67,sign,2,32,31657
tensor_reference,16,67,sign,2,33,31599
tensor_reference,16,67,sign,2,34,31702
tensor_reference,16,67,sign,2,35,31849
tensor_reference,16,67,sign,2,36,33355
tensor_reference,16,67,sign,2,37,31727
tensor_reference,16,67,sign,2,38,31638
tensor_reference,16,67,sign,2,39,31574
tensor_reference,16,67,verify,0,0,66161
tensor_reference,16,67,verify,0,1,73514
tensor_reference,16,67,verify,0,2,73470
tensor_reference,16,67,verify,0,3,69746
tensor_reference,16,67,verify,0,4,73429
tensor_reference,16,67,verify,0,5,73413
tensor_reference,16,67,verify,0,6,73465
tensor_reference,16,67,verify,0,7,73554
tensor_reference,16,67,verify,0,8,73329
tensor_reference,16,67,verify,0,9,73480
tensor_reference,16,67,verify,0,10,73396
tensor_reference,16,67,verify,0,11,66063
tensor_reference,16,67,verify,0,12,69968
tensor_reference,16,67,verify,0,13,67204
tensor_reference,16,67,verify,0,14,73489
tensor_reference,16,67,verify,0,15,73440
tensor_reference,16,67,verify,0,16,73451
tensor_reference,16,67,verify,0,17,73721
tensor_reference,16,67,verify,0,18,73397
tensor_reference,16,67,verify,0,19,73441
tensor_reference,16,67,verify,0,20,73522
tensor_reference,16,67,verify,0,21,73452
tensor_reference,16,67,verify,0,22,73421
tensor_reference,16,67,verify,0,23,73409
tensor_reference,16,67,verify,0,24,73496
tensor_reference,16,67,verify,0,25,73416
tensor_reference,16,67,verify,0,26,73454
tensor_reference,16,67,verify,0,27,74953
tensor_reference,16,67,verify,0,28,70052
tensor_reference,16,67,verify,0,29,73427
tensor_reference,16,67,verify,0,30,73332
tensor_reference,16,67,verify,0,31,73410
tensor_reference,16,67,verify,0,32,73577
tensor_reference,16,67,verify,0,33,73433
tensor_reference,16,67,verify,0,34,70055
tensor_reference,16,67,verify,0,35,73464
tensor_reference,16,67,verify,0,36,73319
tensor_reference,16,67,verify,0,37,69779
tensor_reference,16,67,verify,0,38,73497
tensor_reference,16,67,verify,0,39,73363
tensor_reference,16,67,verify,1,0,73290
tensor_reference,16,67,verify,1,1,70202
tensor_reference,16,67,verify,1,2,73549
tensor_reference,16,67,verify,1,3,69885
tensor_reference,16,67,verify,1,4,73560
tensor_reference,16,67,verify,1,5,69693
tensor_reference,16,67,verify,1,6,74805
tensor_reference,16,67,verify,1,7,73389
tensor_reference,16,67,verify,1,8,73358
tensor_reference,16,67,verify,1,9,73468
tensor_reference,16,67,verify,1,10,73380
tensor_reference,16,67,verify,1,11,70104
tensor_reference,16,67,verify,1,12,73443
tensor_reference,16,67,verify,1,13,69541
tensor_reference,16,67,verify,1,14,73524
tensor_reference,16,67,verify,1,15,73504
tensor_reference,16,67,verify,1,16,73358
tensor_reference,16,67,verify,1,17,73462
tensor_reference,16,67,verify,1,18,73347
tensor_reference,16,67,verify,1,19,74866
tensor_reference,16,67,verify,1,20,73409
tensor_reference,16,67,verify,1,21,73408
tensor_reference,16,67,verify,1,22,73389
tensor_reference,16,67,verify,1,23,73442
tensor_reference,16,67,verify,1,24,73438
tensor_reference,16,67,verify,1,25,73434
tensor_reference,16,67,verify,1,26,73380
tensor_reference,16,67,verify,1,27,69944
tensor_reference,16,67,verify,1,28,70207
tensor_reference,16,67,verify,1,29,69438
tensor_reference,16,67,verify,1,30,73435
tensor_reference,16,67,verify,1,31,74389
tensor_reference,16,67,verify,1,32,103983
tensor_reference,16,67,verify,1,33,77788
tensor_reference,16,67,verify,1,34,90737
tensor_reference,16,67,verify,1,35,71550
tensor_reference,16,67,verify,1,36,72177
tensor_reference,16,67,verify,1,37,69620
tensor_reference,16,67,verify,1,38,73458
tensor_reference,16,67,verify,1,39,69634
tensor_reference,16,67,verify,2,0,73279
tensor_reference,16,67,verify,2,1,73400
tensor_reference,16,67,verify,2,2,73432
tensor_reference,16,67,verify,2,3,69758
tensor_reference,16,67,verify,2,4,73466
tensor_reference,16,67,verify,2,5,73540
tensor_reference,16,67,verify,2,6,73503
tensor_reference,16,67,verify,2,7,73600
tensor_reference,16,67,verify,2,8,86985
tensor_reference,16,67,verify,2,9,71486
tensor_reference,16,67,verify,2,10,75244
tensor_reference,16,67,verify,2,11,78059
tensor_reference,16,67,verify,2,12,71897
tensor_reference,16,67,verify,2,13,75303
tensor_reference,16,67,verify,2,14,71485
tensor_reference,16,67,verify,2,15,75211
tensor_reference,16,67,verify,2,16,75222
tensor_reference,16,67,verify,2,17,75218
tensor_reference,16,67,verify,2,18,75274
tensor_reference,16,67,verify,2,19,75436
tensor_reference,16,67,verify,2,20,71312
tensor_reference,16,67,verify,2,21,75384
tensor_reference,16,67,verify,2,22,75243
tensor_reference,16,67,verify,2,23,71267
tensor_reference,16,67,verify,2,24,77896
tensor_reference,16,67,verify,2,25,75338
tensor_reference,16,67,verify,2,26,75210
tensor_reference,16,67,verify,2,27,75223
tensor_reference,16,67,verify,2,28,75397
tensor_reference,16,67,verify,2,29,71833
tensor_reference,16,67,verify,2,30,75253
tensor_reference,16,67,verify,2,31,75199
tensor_reference,16,67,verify,2,32,75261
tensor_reference,16,67,verify,2,33,75222
tensor_reference,16,67,verify,2,34,87380
tensor_reference,16,67,verify,2,35,73415
tensor_reference,16,67,verify,2,36,73487
tensor_reference,16,67,verify,2,37,76058
tensor_reference,16,67,verify,2,38,73634
tensor_reference,16,67,verify,2,39,73496
tensor_reference,32,131,keygen,0,0,32692644
tensor_reference,32,131,keygen,0,1,32588234
tensor_reference,32,131,keygen,0,2,32752204
tensor_reference,32,131,keygen,0,3,33318538
tensor_reference,32,131,keygen,0,4,32726685
tensor_reference,32,131,keygen,0,5,32287131
tensor_reference,32,131,keygen,0,6,32733599
tensor_reference,32,131,keygen,0,7,32622064
tensor_reference,32,131,keygen,0,8,33193922
tensor_reference,32,131,keygen,0,9,32573432
tensor_reference,32,131,keygen,0,10,34029033
tensor_reference,32,131,keygen,0,11,32657141
tensor_reference,32,131,keygen,0,12,32431662
tensor_reference,32,131,keygen,0,13,32608203
tensor_reference,32,131,keygen,0,14,37995456
tensor_reference,32,131,keygen,0,15,36902026
tensor_reference,32,131,keygen,0,16,32064971
tensor_reference,32,131,keygen,0,17,32159245
tensor_reference,32,131,keygen,0,18,31625276
tensor_reference,32,131,keygen,0,19,33545439
tensor_reference,32,131,keygen,1,0,33676163
tensor_reference,32,131,keygen,1,1,32732531
tensor_reference,32,131,keygen,1,2,32623826
tensor_reference,32,131,keygen,1,3,32563146
tensor_reference,32,131,keygen,1,4,32541133
tensor_reference,32,131,keygen,1,5,32413005
tensor_reference,32,131,keygen,1,6,32967576
tensor_reference,32,131,keygen,1,7,33548194
tensor_reference,32,131,keygen,1,8,32577756
tensor_reference,32,131,keygen,1,9,32534707
tensor_reference,32,131,keygen,1,10,32925466
tensor_reference,32,131,keygen,1,11,34588597
tensor_reference,32,131,keygen,1,12,32721602
tensor_reference,32,131,keygen,1,13,32358724
tensor_reference,32,131,keygen,1,14,32982541
tensor_reference,32,131,keygen,1,15,33082907
tensor_reference,32,131,keygen,1,16,32642064
tensor_reference,32,131,keygen,1,17,32906044
tensor_reference,32,131,keygen,1,18,32589112
tensor_reference,32,131,keygen,1,19,33903589
tensor_reference,32,131,keygen,2,0,33254243
tensor_reference,32,131,keygen,2,1,33484917
tensor_reference,32,131,keygen,2,2,32979599
tensor_reference,32,131,keygen,2,3,32939072
tensor_reference,32,131,keygen,2,4,37918646
tensor_reference,32,131,keygen,2,5,38517328
tensor_reference,32,131,keygen,2,6,32596402
tensor_reference,32,131,keygen,2,7,32828593
